# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Title,Publisher,Link,Year,_id
AI-Based Model for Detection and Classification of Alzheimer Disease,2023 IEEE International Conference on Computer Vision and Machine Intelligence (CVMI),https://ieeexplore.ieee.org/abstract/document/10464469,2023,662dc496ecca8e38db11e84a
Generating Data for Real World Time Series Application with GRU-Based Conditional GAN,Proceedings of International Conference on Data Science and Applications: ICDSA 2021,https://link.springer.com/chapter/10.1007/978-981-16-5348-3_27,2022,662dc45eecca8e38db105a86
Training RNN and it’s Variants Using Sliding Window Technique,"2020 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",https://ieeexplore.ieee.org/document/9087240,2020,662dc33becca8e38db0d333e
Attention LSTM for Time Series Forecasting of Financial Time Series Data,International Conference on Internet of Things and Connected Technologies,https://link.springer.com/chapter/10.1007/978-3-030-76736-5_8,2020,662dc3d4ecca8e38db0f8a64
"Manoj Kumar Somesula, Banalaxmi Brahma, Ratna Raju Mekala, and Sai Krishna Mothku. An Online Approach for Cooperative Cache Updating and Forwarding in Mobile Edge Network.","Wireless Networks (Springer), 2024",https://link.springer.com/article/10.1007/s11276-024-03749-7,2024,66b1cbd570badb0d8d2a97d0
Banalaxmi Brahma and Rajesh Wadhvani. A residual ensemble learning approach for solar irradiance forecasting.,Multimedia Tools and Applications,https://doi.org/10.1007/s11042-023-14616-6,2023,66b1cc5f70badb0d8d2abfa8
Banalaxmi Brahma and Rajesh Wadhvani. Visualizing solar irradiance data in ArcGIS and forecasting based on a novel deep neural network mechanism.,Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-021-11025-5,2022,66b1cc1570badb0d8d2aab7b
"Banalaxmi Brahma, Rajesh Wadhvani and Sanyam Shukla. Attention mechanism for developing wind speed and solar irradiance forecasting models.",Wind Engineering,https://journals.sagepub.com/doi/abs/10.1177/0309524X20981885,2021,66b1cc5270badb0d8d2abcab
Banalaxmi Brahma and Rajesh Wadhvani. Solar Irradiance Forecasting Based on Deep Learning Methodologies and Multi-Site Data.,Symmetry,https://www.mdpi.com/2073-8994/12/11/1830,2020,66b1cc7c70badb0d8d2ac992
Dawn of big data with Hadoop and machine learning,Wiley Online Library,"Balraj Singh, Harsh Kumar Verma",Print ISBN:9781119775614 Online ISBN:9781119776499,Book Chapter,2022,66b2053f70badb0d8d3989e8
"The Interoperability of Fog and IoT in Healthcare Domain: Architecture, Application, and Challenges",Springer,"Karandeep Kaur, Harsh Kumar Verma",978-3-030-46197-3,Book Chapter,2020,6430445438bff038a7805713
Discernment and Perusal of Software Vulnerability,IGI Global,"Guneet Kaur, Urvashi Bansal, Harsh K. Verma, Geeta Sikka, Lalit K. Awasthi",ISBN13: 9781668486665/ ISBN10: 1668486660,Book Chapter,September 2023,6698f7cb471b20290456e72f
Application of Hadoop in Data Science,Wiley Online Library,"Balraj Singh, Harsh K. Verma",Print ISBN:9781119775614 Online ISBN:9781119776499,Book Chapter,22/07/2022,66b205c070badb0d8d39a2bf
Analysis of Sentiment on Amazon Product Reviews,"Third International Conference on Secure Cyber Computing and Communication (ICSCCC), Jalandhar, India, 2023, pp.697-702",https://ieeexplore.ieee.org/document/10176787,2023,66b2014470badb0d8d387382
Communication Void Conscious Enhanced Forwarding Mechanism for Geographic Routing Using 2-Hop Neighbourhood information,"Proceedings of International Conference on Wireless Sensor Networks, 26th 27th Ubiquitous Computing and Applications Dubai, UAE (ICWUA)",,2023,66b2026d70badb0d8d38d99f
"Deepanshu Sharma, Harsh Kumar Verma Malware Signature and Behavior Performance Evaluation utilizing Packers",2nd Asian Conference on Innovation in Technology (ASIANCON),https://ieeexplore.ieee.org/abstract/document/9909111,2022,66b20f8670badb0d8d3c27b7
"Faisal Rasheed Lone, Harsh Kumar Verma, Krishna Pal Sharma Recommender credibility-based trust model for secure v2x communication",5th International Conference on Computational Intelligence and Networks (CINE),https://ieeexplore.ieee.org/abstract/document/10037554,2022,66b20fb570badb0d8d3c2d11
Existing approaches in Ear biometrics,"International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA), Goa, India, 2022, pp.490-496,",https://ieeexplore.ieee.org/document/9989290,2022,66b200ce70badb0d8d384436
"Tanisha Mahendru, Harsh Kumar Verma,""Hiding secret message using matrix reordering and image blocking""",2nd International Conference on Secure Cyber Computing and Communications (ICSCCC),https://ieeexplore.ieee.org/abstract/document/9478136,2021,66b2101a70badb0d8d3c3f4b
"Paras Chugh, Harsh Kumar Verma,""Various Techniques to Improve the Efficiency of Apriori Algorithm: A Review""",2nd International Conference on Secure Cyber Computing and Communications (ICSCCC),null,2021,6430445438bff038a7805739
"Vikramjit Singh, Krishna Pal Sharma, Harsh K Verma,""Evaluating the Impact of Beacon Interval and Neighbor Timeout Timer on the Performance of Geographical Routing in FANETs""",3rd International Conference on Integrated Intelligent Computing Communication & Security (ICIIC 2021),null,2021,6430445438bff038a780573a
"Renu Verma, Kuldeep Kumar, Harsh K Verma,""A Study of Relevant Parameters Influencing Code Smell Prioritization in Object-Oriented Software Systems""","6th International Conference on Signal Processing, Computing and Control (ISPCC)",null,2021,6430445438bff038a780573b
"Gurjit Kaur, Harsh Kumar Verma, Ravindra Kumar Singh, ""Dual Steganography Approach Using 3D Playfair Cipher and Pixel Value Differencing Method""","Proceedings of Industry Interactive Innovations in Science, Engineering & Technology (I3SET2K19)",null,2020,6430445438bff038a7805735
"Ravindra Kumar Singh, Harsh Kumar Verma, ""Effective Analysis of Tweets Using Hadoop Ecosystem""",The International Conference on Recent Innovations in Computing,null,2020,6430445438bff038a7805736
"Aviral Sangal, Harsh Kumar Verma, ""A static feature selection-based android malware detection using machine learning techniques""",International conference on smart electronics and communication (ICOSEC),null,2020,6430445438bff038a7805737
"Himansu Sekhar Pattanayak, Harsh K Verma, AL Sangal, ""Community Detection Metrics and Algorithms in Social Networks""","2018 First International Conference on Secure Cyber Computing and Communication (ICSCCC), pp. 483-489",null,2018,6430445438bff038a780572e
"Naveen Bilandi, Harsh K Verma, Renu Dhir, ""An Energy Efficient TDMA based MAC Protocol for Wireless Body Area Networks""","2018 First International Conference on Secure Cyber Computing and Communication (ICSCCC), pp. 545-549",null,2018,6430445438bff038a780572f
"Charu Guleria, Harsh Kumar Verma, ""Improved detection and mitigation of ddos attack in vehicular ad-hoc network""",4th International Conference on Computing Communication and Automation (ICCCA),null,2018,6430445438bff038a7805734
"Sagar Mal Nitharwal, Harsh Kumar Verma, ""A boolean-based multi-secret image sharing scheme using bit-reversal""",2017 International Conference on Intelligent Communication and Computational Techniques (ICCT),null,2017,6430445438bff038a7805730
"Kirti Kaur Sahota, Lalit Kumar Awasthi, Harsh Kumar Verma, ""An empirical enhancement using scale invariant feature transform in text extraction from images""","2017 International Conference on Intelligent Communication and Computational Techniques (ICCT), pp. 228-232",null,2017,6430445438bff038a7805731
"Jagmeet Singh Aidan, Harsh Kumar Verma, Lalit Kumar Awasthi, ""Comprehensive Survey on Petya Ransomware Attack""","2017 International Conference on Next Generation Computing and Information Systems (ICNGCIS), pp. 122-125",null,2017,6430445438bff038a7805732
"Deepak Singh and Harsh Kumar Verma, ""A new framework for cloud storage confidentiality to ensure information security""","IEEE Symposium on Colossal Data Analysis and Networking (CDAN), Pages 1-5",http://ieeexplore.ieee.org/document/7570933/,2016,6430445438bff038a7805715
"Dilpreet kaur, Harsh Kumar Verma and Ravinder Kumar Singh, ""A hybrid approach for image steganography""","IEEE International Conference on Computing, Communication and Automation, Pages 1069-1073",http://ieeexplore.ieee.org/document/7813901/,2016,6430445438bff038a7805716
"Kirti Aggarwal and Harsh Kumar Verma, ""Hash_RC6 -Variable length Hash algorithm using RC6""","IEEE International Conference on Advances in Computer Engineering and Applications, Pages 450-454",#,2015,6430445438bff038a7805717
"Maninderjit Kaur, Harsh Kumar Verma, Moin Uddin, ""QoS Provisioning in Channel Allocation Strategy in Cognitive Radio Using Fuzzy Logic""","International Conference On Advances in Engineering and Technology (ICAET'2014), Pages 375-380",https://www.inderscienceonline.com/doi/pdf/10.1504/IJMISSP.2014.066438,2014,6430445438bff038a7805718
"Chaitna Vaid and Harsh Kumar Verma, ""Anomaly-based IDS implementation in cloud environment using BOAT algorithm""","IEEE 3rd International Conference on Reliability, Infocom Technologies and Optimization, Pages 1-6",http://ieeexplore.ieee.org/document/7014762/,2014,6430445438bff038a7805719
"Sandeep Mehmi, Harsh Kumar Verma and Amrit Lal Sangal, ""Smart grid cloud for Indian power sector""","IEEE International Conference on Recent Advances and Innovations in Engineering (ICRAIE-2014), Pages 1-6",http://ieeexplore.ieee.org/document/6909293/,2014,6430445438bff038a780571a
